,Unnamed: 0,Translated Spans
0,0.0,I assume these shares have generated a snowball effect
1,1.0,These shares have generated a snowball effect
2,2.0,This issue has [justifiably] the public's attention
3,3.0,The occasion provides a broad debate in civil society
4,4.0,The urgent taking of measurements by the guardianship in order to charge the use of the education system as a vehicle for propagating colonialist and racist ideology
5,5.0,"According to the authors of this book (and the publisher), only the Portuguese deserve to be represented as agents of history"
6,6.0,All other peoples were found
7,7.0,this would be problematic in pedagogical terms
8,8.0,This is how ideas are made meat
9,9.0,It is also reprehensible in scientific and ethical terms
10,10.0,The confrontation with the historical sources does not allow to deduce the “friendly and peaceful” character of the mentioned meetings
11,11.0,"By putting the term ""slaves"" in the column corresponding to the ""products"" brought to Portugal, as if it was acceptable that people are treated as commodity"
12,12.0,put the term “slaves” in the column corresponding to the “products” brought to Portugal
13,13.0,This pedagogical proposal promotes the mental and civic menorization of the students themselves to which
14,14.0,"It is as if the young Portuguese did not have the right to learn their national history, whatever it was"
15,15.0,only could deal with a sweetened view of the same
16,16.0,The reasons why the Estado Novo decided to invent an entire story to replace the one that sources refer
17,17.0,There was still an empire to preserve
18,18.0,This defense of the indefensible is particularly worrying
19,19.0,"By supposedly invoking the chronological rigor, limiting the focus of the excerpt to the century.XV and XVI, the PE seems to assume that in relation to this period the mantra of “friendly and peaceful relationships” is historically valid"
20,20.0,PE seems to assume that in this period the mantra of “friendly and peaceful relationships” is historically valid
21,21.0,"The US education system, for reasons that even see this interview, is far from an exportable product"
22,22.0,"How many Portuguese students are in “elite” schools who are, in history as in so many other subjects, exposed to this interpellation, and given to this privilege"
23,23.0,The school continues to teach the lie
24,24.0,partly because in the lie the trainers were formed
25,25.0,There is no way to find a solution that pleases all the benches
26,26.0,I've been there eight months since the government commission delivered the work commissioned
27,27.0,"The subject has already toured all the steps of analysis, discussion and contradictory"
28,28.0,"The subject has already toured all the steps of analysis, discussion and contradictory, missing rotten"
29,29.0,"The subject has already toured all the steps of analysis, discussion and contradictory, missing rotten, which seems to be what certain sectors want the most"
30,30.0,The argument that there are three or four PPP is useless
31,31.0,The conflict is not measured by the amount
32,32.0,"The conflict is not measured by quantity, it is measured by the interests in question"
33,33.0,It is measured by the interests in question
34,34.0,The conflict of interest may occur
35,35.0,Only one person has two interests in relation to the same subject
36,36.0,a decision must be made
37,37.0,The conflict of interest is characterized
38,38.0,"someone, having a personal or private interest in a particular matter"
39,39.0,"influence, or try to influence the performance of others, so that it acts and is partial, thus reaching the objective that"
40,40.0,Known that is the formulation of the PS
41,41.0,"Known that it is the formulation of the PS, defended by its secretary general"
42,42.0,There is no mechanisms that prevent these conflicts
43,43.0,It became incomprehensible why the PCP decided to request the postponement of the base 18
